epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2338,2.30187,3.1722,3.74785,1.087,0,0.50296,0.34772,0.33237,0.14446,0.26573,0.19211,0.11674,0.03356,2.0241,2.82943,1.49262,0.97269,0,0.000409091,0.000409091,0.000409091
2,32.1087,2.1297,2.46282,1.66836,0.98802,0,0.3914,0.32536,0.26354,0.11135,0.27381,0.28492,0.16935,0.05511,2.07844,2.24181,1.95344,1.02283,0,0.000817583,0.000817583,0.000817583
3,43.899,2.14527,2.46392,1.51548,0.99616,0,0.4038,0.40063,0.32746,0.13764,0.29231,0.30542,0.18159,0.05819,2.09013,2.44888,1.67147,0.98925,0,0.00121782,0.00121782,0.00121782
4,55.5155,2.11369,2.37228,1.44665,0.98291,0,0.45445,0.37167,0.31254,0.12853,0.30933,0.2475,0.18038,0.05745,2.11323,2.2438,1.80456,0.96676,0,0.00121287,0.00121287,0.00121287
5,66.9971,2.09393,2.4657,1.37943,0.97515,0,0.48213,0.4186,0.3756,0.14799,0.3012,0.29055,0.18412,0.05845,2.20096,2.36154,1.40809,1.00712,0,0.0012005,0.0012005,0.0012005
6,78.6504,2.04344,2.42769,1.35162,0.96416,0,0.52099,0.40626,0.38737,0.17146,0.3407,0.27521,0.17266,0.06238,2.11432,2.1393,1.31049,1.004,0,0.00118812,0.00118812,0.00118812
7,90.2525,1.9903,2.39325,1.29898,0.954,0,0.49025,0.44769,0.39149,0.18453,0.32643,0.33144,0.21106,0.07493,1.9764,2.17996,1.28716,0.94911,0,0.00117575,0.00117575,0.00117575
8,101.921,1.96481,2.25928,1.28097,0.95463,0,0.58172,0.36945,0.36958,0.17227,0.41981,0.31503,0.23731,0.09247,2.04112,2.18153,1.3538,0.94916,0,0.00116337,0.00116337,0.00116337
9,113.651,1.93183,2.28398,1.24967,0.94488,0,0.56408,0.42794,0.40909,0.1877,0.369,0.25233,0.18243,0.05881,1.99075,2.18369,1.28719,0.95056,0,0.001151,0.001151,0.001151
10,125.207,1.93228,2.26987,1.24316,0.94357,0,0.58564,0.39282,0.39967,0.19683,0.41353,0.28144,0.22254,0.08572,1.96112,2.19685,1.29995,0.93156,0,0.00113863,0.00113863,0.00113863
11,136.916,1.92463,2.28799,1.21914,0.93208,0,0.54242,0.47065,0.4416,0.20867,0.31563,0.29886,0.19754,0.0718,1.89403,2.22835,1.23077,0.95835,0,0.00112625,0.00112625,0.00112625
12,148.532,1.87938,2.22617,1.19031,0.93075,0,0.57649,0.42165,0.41539,0.20154,0.39413,0.32338,0.25424,0.08971,1.91916,2.30389,1.23048,0.94389,0,0.00111388,0.00111388,0.00111388
13,160.196,1.86467,2.25921,1.1872,0.93217,0,0.53337,0.40638,0.39626,0.18195,0.35594,0.31481,0.23085,0.0786,2.00766,2.24632,1.25393,0.93129,0,0.0011015,0.0011015,0.0011015
14,171.747,1.89727,2.32685,1.2088,0.93345,0,0.75513,0.37347,0.4142,0.1946,0.32266,0.33745,0.22558,0.08502,1.9876,2.22157,1.20707,0.94002,0,0.00108913,0.00108913,0.00108913
15,183.438,1.84611,2.18538,1.1617,0.92831,0,0.61595,0.4432,0.44642,0.21531,0.44586,0.34213,0.25889,0.09977,1.94838,2.06555,1.20745,0.94312,0,0.00107675,0.00107675,0.00107675
16,195.209,1.83797,2.21123,1.15598,0.92783,0,0.60796,0.4057,0.43368,0.2095,0.42743,0.28858,0.2551,0.09338,1.88051,2.15028,1.2032,0.93115,0,0.00106437,0.00106437,0.00106437
17,206.728,1.83714,2.22588,1.13789,0.92011,0,0.59476,0.41126,0.4239,0.20528,0.379,0.33713,0.25812,0.09782,1.82889,2.21222,1.18243,0.92506,0,0.001052,0.001052,0.001052
18,218.297,1.82016,2.15912,1.12601,0.91406,0,0.64193,0.45485,0.47423,0.22422,0.34471,0.3132,0.23313,0.0852,1.90087,2.12953,1.1096,0.91851,0,0.00103962,0.00103962,0.00103962
19,229.828,1.79984,2.17605,1.10752,0.91408,0,0.62939,0.42162,0.44437,0.21559,0.41087,0.31617,0.26627,0.09446,1.86078,2.26354,1.14882,0.92363,0,0.00102725,0.00102725,0.00102725
20,241.434,1.80875,2.22933,1.11437,0.91757,0,0.58857,0.40954,0.44081,0.1993,0.38346,0.28938,0.24235,0.08726,1.95191,2.08697,1.19985,0.91688,0,0.00101488,0.00101488,0.00101488
21,252.953,1.81872,2.15115,1.11933,0.91205,0,0.50916,0.46235,0.4436,0.21101,0.31195,0.29178,0.2124,0.07745,1.89884,2.19396,1.18611,0.92466,0,0.0010025,0.0010025,0.0010025
22,264.465,1.8023,2.18669,1.10396,0.90645,0,0.61371,0.46037,0.45221,0.2038,0.41099,0.33266,0.26877,0.0968,1.85796,2.16039,1.1905,0.92157,0,0.000990125,0.000990125,0.000990125
23,276.154,1.76602,2.1486,1.10522,0.90513,0,0.60874,0.46496,0.45609,0.22138,0.42791,0.34629,0.28573,0.1073,1.84066,2.11363,1.14317,0.92207,0,0.00097775,0.00097775,0.00097775
24,287.83,1.7586,2.11627,1.07951,0.9015,0,0.64086,0.45239,0.45259,0.22233,0.4215,0.34858,0.25989,0.09713,1.85085,2.12116,1.14152,0.9059,0,0.000965375,0.000965375,0.000965375
25,299.376,1.74835,2.16748,1.06747,0.90162,0,0.62578,0.45012,0.46801,0.23455,0.35953,0.36929,0.26165,0.09022,1.84058,2.17525,1.14375,0.91229,0,0.000953,0.000953,0.000953
26,310.943,1.75665,2.14709,1.06221,0.9052,0,0.5587,0.47323,0.45811,0.21508,0.38598,0.32025,0.24862,0.09295,1.9255,2.13192,1.14502,0.91509,0,0.000940625,0.000940625,0.000940625
27,322.459,1.71991,2.06982,1.06631,0.90336,0,0.54678,0.48269,0.43896,0.21599,0.35686,0.32184,0.23115,0.08512,1.82555,2.08664,1.1816,0.91258,0,0.00092825,0.00092825,0.00092825
28,333.995,1.72787,2.09859,1.0719,0.89626,0,0.58552,0.47821,0.45776,0.22084,0.36974,0.29794,0.23416,0.0828,1.82089,2.14073,1.15874,0.90145,0,0.000915875,0.000915875,0.000915875
29,345.672,1.72434,2.06018,1.06923,0.89568,0,0.659,0.46532,0.48267,0.23486,0.48096,0.29359,0.25657,0.09687,1.84497,2.16234,1.09592,0.90264,0,0.0009035,0.0009035,0.0009035
30,357.339,1.66713,2.11148,1.01856,0.89072,0,0.56094,0.47029,0.44734,0.21416,0.38699,0.32314,0.24888,0.09252,1.9103,2.14346,1.16312,0.92661,0,0.000891125,0.000891125,0.000891125
31,368.892,1.68729,2.10748,1.03095,0.88974,0,0.56786,0.49455,0.467,0.23185,0.39706,0.35851,0.27779,0.10159,1.84512,2.09739,1.1162,0.90042,0,0.00087875,0.00087875,0.00087875
32,380.663,1.69695,2.11305,1.04038,0.8885,0,0.52823,0.50022,0.46043,0.22305,0.4354,0.29047,0.25213,0.10261,1.84721,2.10019,1.13564,0.90095,0,0.000866375,0.000866375,0.000866375
33,392.184,1.66226,2.05499,1.00819,0.89028,0,0.49408,0.47233,0.45786,0.23131,0.35233,0.34824,0.25502,0.09822,1.81223,2.07713,1.14252,0.90224,0,0.000854,0.000854,0.000854
34,403.769,1.70423,2.09943,1.04275,0.89118,0,0.58043,0.46278,0.46132,0.23217,0.40159,0.30732,0.253,0.08647,1.79865,2.04697,1.13741,0.90217,0,0.000841625,0.000841625,0.000841625
35,415.438,1.70531,2.06269,1.02498,0.8847,0,0.59105,0.49509,0.50038,0.25779,0.37497,0.37572,0.29054,0.11028,1.74248,2.07788,1.06451,0.89596,0,0.00082925,0.00082925,0.00082925
36,427.196,1.71855,2.09073,1.0322,0.89124,0,0.54403,0.46036,0.42093,0.20517,0.33619,0.34042,0.22999,0.08796,1.84208,2.1432,1.1979,0.9024,0,0.000816875,0.000816875,0.000816875
37,438.69,1.69134,2.04967,1.02646,0.88474,0,0.56796,0.4907,0.48102,0.23101,0.4256,0.31758,0.26756,0.09729,1.76344,2.08573,1.11596,0.90025,0,0.0008045,0.0008045,0.0008045
38,450.221,1.7011,2.06252,1.02393,0.88325,0,0.57666,0.47456,0.47752,0.24095,0.38501,0.32834,0.2612,0.09832,1.76928,2.14344,1.15314,0.91017,0,0.000792125,0.000792125,0.000792125
39,461.686,1.65826,2.05034,1.01076,0.88508,0,0.55803,0.48554,0.46897,0.22738,0.41141,0.33235,0.27084,0.10326,1.82398,2.05811,1.11836,0.90153,0,0.00077975,0.00077975,0.00077975
40,473.227,1.65343,2.07706,0.99934,0.88481,0,0.59967,0.47299,0.48369,0.23631,0.30486,0.36542,0.26039,0.09572,1.79881,2.08079,1.09445,0.89507,0,0.000767375,0.000767375,0.000767375
