epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2353,2.22467,2.82031,2.91462,0.00284,3.98111,0.56054,0.43407,0.4341,0.19783,0.27493,0.23557,0.14863,0.05074,2.17554,2.36526,1.41792,0.0115,0,0.000414755,0.000414755,0.000414755
2,144.702,2.4242,2.68568,1.80928,0.00312,1.78701,0.65759,0.35906,0.38673,0.16676,0.23404,0.21682,0.15843,0.04851,2.31674,2.49634,1.57352,0.01232,0,0.000823191,0.000823191,0.000823191
3,205.281,2.4356,2.70674,1.76222,0.00315,1.33704,0.46439,0.41029,0.38826,0.1667,0.27683,0.27956,0.19943,0.07348,2.33728,2.45559,1.62988,0.01319,0,0.00122338,0.00122338,0.00122338
4,265.678,2.51348,2.62056,1.74118,0.00331,1.30123,0.68486,0.32535,0.35918,0.15489,0.56215,0.22863,0.19008,0.06168,2.37928,2.38306,1.59732,0.01285,0,0.00121287,0.00121287,0.00121287
5,326.008,2.47454,2.66778,1.67444,0.00324,1.28952,0.52711,0.36371,0.36196,0.1448,0.24192,0.20075,0.11385,0.03505,2.486,2.50474,1.60838,0.01342,0,0.0012005,0.0012005,0.0012005
6,386.191,2.49549,2.73515,1.73697,0.00325,1.29756,0.46581,0.39799,0.39733,0.15785,0.31076,0.27738,0.19443,0.06112,2.46618,2.28234,1.4979,0.01379,0,0.00118812,0.00118812,0.00118812
7,446.534,2.399,2.58696,1.62891,0.0031,1.229,0.52432,0.42321,0.40859,0.18089,0.32912,0.28024,0.19211,0.06738,2.25577,2.28821,1.52768,0.01189,0,0.00117575,0.00117575,0.00117575
8,506.681,2.39967,2.51226,1.54816,0.00305,1.1387,0.57411,0.41618,0.43671,0.20796,0.31073,0.27112,0.19115,0.07368,2.20236,2.39989,1.40265,0.01211,0,0.00116337,0.00116337,0.00116337
9,567.945,2.31914,2.56632,1.54351,0.00294,1.14938,0.56163,0.42617,0.46098,0.2013,0.26867,0.25801,0.15549,0.05437,2.26818,2.25738,1.37966,0.01179,0,0.001151,0.001151,0.001151
10,628.276,2.31726,2.54789,1.51005,0.00297,1.09671,0.61117,0.43022,0.41922,0.19256,0.33884,0.27737,0.18222,0.06228,2.31144,2.3205,1.4195,0.01244,0,0.00113863,0.00113863,0.00113863
11,688.566,2.3503,2.5021,1.50292,0.00287,1.07799,0.61304,0.40879,0.44555,0.18861,0.31742,0.27068,0.20728,0.07255,2.3175,2.32982,1.4665,0.01233,0,0.00112625,0.00112625,0.00112625
12,748.716,2.24254,2.50213,1.49511,0.00277,1.10003,0.52168,0.44917,0.44136,0.19761,0.2627,0.2242,0.16669,0.05357,2.26655,2.37772,1.47351,0.01245,0,0.00111388,0.00111388,0.00111388
13,808.998,2.25722,2.44804,1.48016,0.00286,1.07135,0.57485,0.46587,0.41649,0.18499,0.27182,0.27133,0.19277,0.05737,2.22317,2.36689,1.49132,0.01223,0,0.0011015,0.0011015,0.0011015
14,869.22,2.26089,2.50988,1.49549,0.00279,1.09869,0.58692,0.47563,0.45398,0.2148,0.34373,0.30342,0.20894,0.06892,2.2419,2.45526,1.37231,0.01231,0,0.00108913,0.00108913,0.00108913
15,930.617,2.23688,2.41421,1.4315,0.0028,1.07732,0.58664,0.46345,0.47682,0.22142,0.41212,0.28033,0.21064,0.06852,2.2145,2.18716,1.31952,0.01187,0,0.00107675,0.00107675,0.00107675
16,991.883,2.23411,2.50506,1.40495,0.00275,1.04861,0.57439,0.48489,0.44917,0.20327,0.33094,0.29907,0.1872,0.06284,2.22658,2.24679,1.38093,0.01201,0,0.00106437,0.00106437,0.00106437
17,1052.08,2.23186,2.48338,1.40794,0.0027,1.04148,0.57299,0.44929,0.4709,0.21943,0.37156,0.28962,0.21216,0.06754,2.22147,2.34944,1.38644,0.01193,0,0.001052,0.001052,0.001052
18,1112.28,2.22222,2.39203,1.41048,0.00274,1.03117,0.69975,0.43638,0.47731,0.22219,0.33657,0.2514,0.17478,0.06145,2.10622,2.28041,1.32263,0.01134,0,0.00103962,0.00103962,0.00103962
19,1172.39,2.18992,2.37365,1.39948,0.00264,1.02307,0.57837,0.46204,0.48203,0.23854,0.30071,0.25119,0.174,0.05414,2.06773,2.32075,1.34038,0.01117,0,0.00102725,0.00102725,0.00102725
20,1233.56,2.1887,2.40857,1.38002,0.00264,1.00502,0.6175,0.46189,0.48078,0.21648,0.37102,0.27663,0.20327,0.06838,2.19207,2.3528,1.36545,0.0113,0,0.00101488,0.00101488,0.00101488
21,1293.84,2.16893,2.4045,1.37736,0.00264,1.02857,0.61892,0.45263,0.47149,0.22979,0.43233,0.28844,0.22688,0.07247,2.12,2.33987,1.33338,0.0109,0,0.0010025,0.0010025,0.0010025
22,1355.14,2.16638,2.42179,1.35656,0.00254,1.01593,0.58741,0.5012,0.48809,0.22373,0.31332,0.2715,0.19139,0.064,2.11388,2.3162,1.26766,0.01052,0,0.000990125,0.000990125,0.000990125
23,1415.41,2.13166,2.34874,1.31559,0.00257,0.96384,0.60297,0.46183,0.48584,0.22351,0.35174,0.2728,0.19831,0.07174,2.10422,2.32959,1.33429,0.01067,0,0.00097775,0.00097775,0.00097775
24,1475.52,2.10879,2.29815,1.29466,0.00256,0.93185,0.58615,0.49845,0.48483,0.23763,0.30903,0.29376,0.1873,0.06577,2.09279,2.32685,1.26687,0.01118,0,0.000965375,0.000965375,0.000965375
25,1536.53,2.11352,2.32314,1.30704,0.0025,0.93608,0.65052,0.46392,0.50069,0.23721,0.39502,0.27643,0.21378,0.07575,2.0946,2.26857,1.30672,0.01114,0,0.000953,0.000953,0.000953
26,1597.76,2.13386,2.38054,1.32817,0.00255,0.97033,0.7903,0.40861,0.50114,0.22354,0.57402,0.23859,0.18586,0.06577,2.18028,2.10678,1.33113,0.01082,0,0.000940625,0.000940625,0.000940625
27,1657.93,2.07915,2.28904,1.31013,0.00246,0.9505,0.5973,0.44641,0.48165,0.23435,0.32047,0.25768,0.17637,0.06052,2.11377,2.33319,1.31945,0.01139,0,0.00092825,0.00092825,0.00092825
28,1718.22,2.11417,2.32085,1.32308,0.00252,0.95177,0.60852,0.47085,0.49858,0.23756,0.36527,0.2473,0.20851,0.07561,2.08546,2.26191,1.3214,0.01092,0,0.000915875,0.000915875,0.000915875
29,1779.46,2.08953,2.26755,1.3077,0.00251,0.91908,0.61557,0.51575,0.50069,0.23925,0.35199,0.30729,0.22678,0.0775,2.12162,2.27564,1.30451,0.01077,0,0.0009035,0.0009035,0.0009035
30,1840.82,2.10103,2.30465,1.30421,0.00248,0.90863,0.6967,0.4348,0.48207,0.24346,0.32554,0.26142,0.19531,0.06384,2.05796,2.25771,1.33815,0.01021,0,0.000891125,0.000891125,0.000891125
31,1901.12,2.08805,2.26334,1.29338,0.00246,0.87489,0.57809,0.50426,0.49888,0.24797,0.35869,0.30502,0.22211,0.08216,2.07956,2.24415,1.27938,0.01142,0,0.00087875,0.00087875,0.00087875
32,1962.45,2.0522,2.30974,1.28779,0.00245,0.92784,0.59989,0.47813,0.50358,0.24147,0.34175,0.27914,0.20198,0.07205,2.06529,2.18273,1.30037,0.01082,0,0.000866375,0.000866375,0.000866375
